titre,date,extrait
Retour sur la 1ère édition de « Safi Investor Day » organisée par le CRI Marrakech-Safi (VIDEO),2022-05-26,"La 1ère édition de « Safi Investor Day », un événement de grande envergure dédié à mettre en avant les énormes potentialités que recèle la province de Safi et à favoriser un échange profitable entre les différents acteurs économiques publics et privés, a été organisée mercredi dans la cité de l’Océan, à l’initiative du Centre Régional d’Investissement Marrakech- Safi (CRI-MS)."
HEM décroche l’accréditation de la prestigieuse Association of African Business Schools,2022-05-26,Une nouvelle reconnaissance de l’excellence académique et de la bonne gouvernance de HEM !
Green Challenge revient pour sa 9ème édition à Taghazout Bay,2022-05-26,"Dans le cadre de l’animation de la destination Taghazout Bay, GC Sports, en partenariat avec la Société d’Aménagement et de Promotion de la Station de Taghazout (SAPST), organise le Green Challenge le 11 juin 2022 à Taghazout Bay."
Zone industrielle de Bouknadel: un projet de décret adopté,2022-05-26,"Le Conseil de gouvernement, réuni ce jeudi, sous la présidence du chef du gouvernement, Aziz Akhannouch, a approuvé le projet de décret n° 2.22.342 portant modification du décret n° 2.21.957 relatif à la création de la zone d’accélération industrielle de Bouknadel."
La Bourse de Casablanca boucle ses échanges en bonne mine,2022-05-26,"La Bourse de Casablanca a bouclé ses échanges, ce jeudi, en bonne mine, son indice phare, le MASI, progressant de 0,14% à 12.411,5 points (pts)."
Maroc: les arrivées de touristes grimpent,2022-05-26,"Les arrivées de touristes aux postes frontières ont enregistré un net rebond de 215% au cours des quatre premiers mois de 2022, pour atteindre 1,5 million, selon la Direction du Trésor et des Finances extérieures (DTFE)."
Electricité: la production locale en hausse,2022-05-26,"La production locale d’électricité a progressé de 4,1% au premier trimestre 2022, contre une hausse de 0,8% un an auparavant, selon la Direction du Trésor et des Finances extérieures (DTFE)."
Bourse de Casablanca: la séance démarre dans le vert ce jeudi,2022-05-26,"La Bourse de Casablanca débutait la séance en légère hausse jeudi, l’indice de toutes les valeurs, le Masi, progressant de 0,36%, à 12.439,35 points (pts)."
Marina Agadir accueille une grande chaine hôtelière internationale,2022-05-26,"Marina Agadir annonce l’ouverture prochaine de l’enseigne DoubleTree by Hilton au sein de l’emblématique Marina Agadir, suite à la signature d’un accord de partenarait avec le groupe Hilton en présence de Jochem-Jan Sleiffer, Président de la Région Moyen-Orient et Afrique de Hilton Hotels & Resorts et de Zaid Ali, Président de Marina Agadir."
Devises vs Dirham: les cours de change de ce jeudi 26 mai,2022-05-26,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du jeudi 26 mai 2022:
Croissance au Maroc: les prévisions de la BAD pour 2022,2022-05-25,"La croissance économique devrait s’établir à 1,8% en 2022 et à 3,3% en 2023, malgré la reprise des exportations et un retour partiel des touristes, prévoit la Banque africaine de développement (BAD)."
La Bourse de Casablanca clôture ce mercredi sur une note négative,2022-05-25,"La Bourse de Casablanca a inversé sa tendance haussière constatée à l’entame des échanges pour clôturer ce mercredi sur une note négative, son principal indice, le Masi, ayant décroché de 0,22% à 12.394,39 points (pts)."
Dacia Maroc : découvrez la nouvelle Dacia Sandero Streetway ARTWAY (VIDEO),2022-05-25,"Avec Dacia Sandero Streetway ARTWAY, Dacia Maroc propose aux Marocains de posséder une voiture avec équipements modernes et technologiques."
Burger King: une nouvelle inauguration et 7 ouvertures prochaines au Maroc (VIDEO),2022-05-25,"Burger King, célèbre chaîne de restauration rapide et auteur du phénomène mondial « Burger grillé à la flamme », fête une nouvelle ouverture à la Marina Bouregreg qui a eu lieu le vendredi 20 mai 2022."
Enseignement: la belle initiative de l’UPF à Fès (VIDEO),2022-05-25,"Une cinquantaine d’étudiants ingénieurs des filières des systèmes embarqués, des énergies renouvelables et des systèmes énergétiques de l’Université Privée de Fès (UPF) ainsi que d’autres écoles du royaume ont participé à la compétition sur les énergies renouvelables et les systèmes énergétiques organisés dans le cadre de la deuxième édition de «la Semaine des Métiers de l’ingénieur» de l’UPF."
Marrakech: un nouveau MÉGASTORE AUTOCAZ,2022-05-25,"Autocaz, filiale du Groupe Auto Hall dédiée à l’achat, la reprise et la vente des véhicules d’occasion s’installe désormais à Marrakech. Ce nouveau Mégastore inauguré lundi 23 mai 2022, s’avère plus moderne et sophistiqué. "
Stratégies d’entreprises. Comment renforcer et fidéliser sa Customer community ? (Récap’),2022-05-25,"Les secrets d’une stratégie de fidélisation réussie, les bons conseils pour adresser les bons messages à la communauté de consommateurs et les erreurs à éviter par toute entreprise… Le sujet était au cœur d’un débat à bâtons rompus, lors de la rencontre de ce mois du « Cercle des ÉCO ». Récap’."
Stratégies de marques. Attention aux détracteurs ! (VIDEO),2022-05-25,"C’est un fait: Une marque ne peut avoir uniquement des prescripteurs. Des détracteurs, il y en aura toujours et, même si leurs avis peuvent être virulents, il reste important pour une entreprise de les écouter et de les prendre en compte. Aujourd’hui, avec la montée des réseaux sociaux, le poids des détracteurs pèse de plus en plus dans la balance de la réputation des marques auprès du marché. C’est l’avis de Zineb Tadili, Directrice Costumer & shopper expérience chez Orange, qui intervenait lors de la table ronde du « Cercle des ECO », tenue le 12 mai dernier."
Stratégie d’entreprise: ce qui prouve qu’une marque a réussi (VIDEO),2022-05-25,"Dans certains secteurs, une marque parvient à créer une communauté “réelle”. Il s’agit d’une tranche de consommateurs fidèle à la marque, qui adhère et arbore ses valeurs, mais qui aussi la défend et la conseille. La force de frappe de cette communauté est-elle conséquente ?"
Made in Morocco. Comment booster les marques marocaines ? (VIDEO),2022-05-25,De quelle manière les marques marocaines peuvent-elles attirer davantage le client local et le fidéliser durablement pour réussir ainsi le challenge de promotion du « Made in Morocco »?
Communication d’entreprises. Comment choisir les bons messages ? (VIDEO),2022-05-25,"La satisfaction de la clientèle et l’élargissement de la communauté de consommateurs ont une portée cruciale pour l’image d’une marque et de son capital sympathie sur le marché. C’est pour cela que chaque entreprise doit accorder un grand intérêt aux messages formulés, directement ou indirectement, à l’égard de ses consommateurs. Tout l’enjeu reste donc de bien choisir ces messages."
"Gestion de la relation client. Contact humain vs chatbox, une question d’efficacité (VIDEO)",2022-05-25,"De plus en plus de marques communiquent, ou du moins renforcent leur service client, par la mise en place des mécanismes de chatbox, ces boîtes de messagerie pré-programmées et intelligentes qui sont déployées pour informer, rassurer ou recevoir les doléances des consommateurs. Bonne ou mauvaise méthode ? Que préfère le client ?"
"Entreprises. Savoir remercier ses clients, une valeur clé ? (VIDEO)",2022-05-25,"Parmi les conseils les plus fréquents formulés pour fidéliser une communauté de consommateurs, les experts préconisent qu’une entreprise sache remercier ses clients, voire s’excuser quand il le faut. Or, ces pratiques sont loin d’être monnaie courante sur le marché."
"Crise sanitaire, quel impact sur les entreprises ? (VIDEO)",2022-05-25,"LE CERCLE DES ECO. Comment renforcer et fidéliser sa Customer community ? Le thème abordé récemment lors de la deuxième rencontre du Cercle des ÉCO, concept de table ronde organisé par Les Inspirations ÉCO autour des grandes préoccupations managériales, est plus que d’actualité."
Devises vs Dirham: les cours de change de ce mercredi 25 mai,2022-05-25,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du mercredi 25 mai 2022:
Mezzour: « Le tissu industriel marocain est l’un des plus dynamiques au monde »,2022-05-24,"Le tissu industriel marocain est l’un des plus dynamiques au monde, a affirmé, ce mardi à Casablanca, le ministre de l’Industrie et du Commerce, Ryad Mezzour."
Collectivités territoriales: 10 MMDH de recettes fiscales à fin avril,2022-05-24,"Les recettes fiscales des collectivités territoriales ont atteint 10 milliards de dirhams (MMDH) à fin avril 2022, en augmentation de 18,5% par rapport à leur niveau à fin avril 2021, selon la Trésorerie Générale du Royaume (TGR)."
La Bourse de Casablanca clôture en nette baisse,2022-05-24,"La Bourse de Casablanca a clôturé in extremis dans le rouge ce mardi, après avoir progressé pendant la quasi-totalité de la séance, l’indice de toutes les valeurs, le Masi, cédant 1,14% à 12.421,6 points (pts)."
Oland Group: lancement de quatre nouvelles lignes de production de fromage fondu,2022-05-24," En la présence d’une délégation officielle, présidée par Monsieur Le Ministre de l’Industrie et du Commerce, Ryad Mezzour, OLAND GROUP a inauguré officiellement aujourd’hui, ses quatre nouvelles lignes dédiées à la production du fromage fondu. Détails ! "
HUAWEI lance sa toute nouvelle génération de produits,2022-05-24,"Huawei Consumer Business Group (BG) vient de dévoiler une panoplie de nouveaux produits de pointe, et ce en marge de l’événement de «Lancement des produits phares de Huawei 2022». Parmi les nouveaux produits lancés par Huawei, on retrouve notamment la HUAWEI WATCH GT 3 Pro, le HUAWEI Mate Xs 2, le HUAWEI P50, la HUAWEI WATCH D, le HUAWEI Band 7 et le HUAWEI WATCH FIT 2."
Sidi Ali lance une édition limitée de neuf bouteilles,2022-05-24,"Sidi Ali, marque emblématique d’eau minérale naturelle depuis 1978, célèbre la beauté du Maroc  et le talent de jeunes artistes marocains en lançant une édition limitée de neuf bouteilles, intitulée « Bled El Fen ». "
Renforcement de la Convention de partenariat entre le CAM et NIRSAL,2022-05-24,"Le Crédit Agricole du Maroc a reçu le 20 Mai 2022 une délégation africaine de la « Nigeria Incentive Risk Sharing in Agricultural Lending » NIRSAL Plc. Cette visite s’inscrit dans le cadre du renouvellement du Mémorandum d’entente conclu entre les deux parties le 2 Décembre 2016 devant Sa Majesté Le Roi Mohamed VI que Dieu l’assiste et de Son Excellence Muhammadu Buhari, Président de la République fédérale du Nigeria."
Casablanca: les produits dont les prix ont augmenté,2022-05-24,"L’indice des prix à la Consommation (IPC) a connu, au terme du mois d’avril dernier à Casablanca, une hausse de 1,3% par rapport au mois précédent."
La Banque mondiale accorde un prêt de 350 millions de dollars au Maroc,2022-05-24,La Banque mondiale vient d’approuver un prêt de 350 millions de dollars pour appuyer le lancement du programme Économie bleue au Maroc.
Symposium arabe autour du thème: « La société civile et la moralisation de la vie publique »,2022-05-24,"Le Centre Marocain du Volontariat et de la Citoyenneté a organisé en fin de semaine dernière à Casablanca, en partenariat avec le Ministère de la Justice, dans le cadre du Forum Arabe pour le Développement de la société civile le premier symposium arabe autour du thème  » la société civile et la moralisation de la vie publique’’"
La Bourse de Casablanca débute en hausse ce mardi,2022-05-24,"La Bourse de Casablanca entamait la séance de mardi en légère hausse, l’indice de toutes les valeurs, le Masi, gagnant 0,33%, à 12.606,14 points (pts)."
Devises vs Dirham: les cours de change de ce mardi 24 mai,2022-05-24,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du mardi 24 mai 2022:
RCI Bank and Services devient Mobilize Financial Services,2022-05-23,"A l’occasion du premier Capital Market Day de Mobilize, RCI Bank and Services annonce son changement de marque commerciale: Mobilize Financial Services."
La Bourse de Casablanca clôture en baisse ce lundi,2022-05-23,"La Bourse de Casablanca a clôturé en baisse ce lundi, son indice de référence, le MASI, perdant 0,49% à 12.564,55 points (pts)."
Ouverture: la Bourse de Casablanca démarre ce lundi en baisse,2022-05-23,"La Bourse de Casablanca évoluait en territoire négatif, lundi dans les premiers échanges, son indice principal, le Masi, cédant 0,37%, à 12.580,47 points (pts)."
Devises vs Dirham: les cours de change de ce lundi 23 mai,2022-05-23,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du lundi 23 mai 2022:
Béni Mellal-Khénifra: lancement du programme d’appui à la participation citoyenne,2022-05-21,"Le programme d’appui à la participation citoyenne a été lancé officiellement, jeudi, dans la région de Beni Mellal-Khénifra, lors d’une cérémonie en présence, notamment, du Wali de la région de Béni Mellal, gouverneur de la province de Béni Mellal Khatib El Hebil."
Maroc: le marché interbancaire demeure stable,2022-05-21,"Le marché interbancaire est demeuré stable durant la période allant du 13 au 19 mai courant, soutenu par les actions proactives de Bank Al-Maghrib (BAM) à travers ses injections hebdomadaires et une politique monétaire accommodante depuis 2020, indique Attijari Global Research (AGR)."
"Al Habtoor City, une destination engageante de confort et d’évasion",2022-05-21,"Dubaï est la promesse d’un mode ouvert sur le futur et le modernisme, qui fait le bonheur des voyageurs et étanche leur soif de luxe, d’aventure et d’avant-gardisme."
Tamwilcom lance sa plateforme digitale « Fin-Créa »,2022-05-21,"TAMWILCOM donne le coup d’envoi, le jeudi 19 mai à Casablanca, de son Roadshow national en faveur des acteurs du financement et de l’accompagnement des porteurs de projets. "
