titre,date,extrait
"Automobile: les ventes en baisse de 8,56% à fin avril 2022",2022-05-05,"Les ventes de voitures neuves au Maroc se sont établies à 53.912 unités à fin avril 2022, en baisse de 8,56% par rapport à la même période en 2021, indique des statistiques mensuelles de l’Association des importateurs de véhicules automobiles au Maroc (AIVAM)."
"Immobilier: 259.167 unités d’habitation produites en 2021, une hausse d’un petit 1%",2022-05-05,"Ces unités sont en hausse de 1% par rapport à l’année 2020, précise la DTFE dans sa note de conjoncture portant sur les premiers résultats de l’année 2021."
Les transferts des Marocains du monde s’élèvent à près de 23 MMDH au 1er trimestre 2022,2022-05-05,"Les transferts des Marocains résidant à l’étranger (MRE) ont atteint plus de 22,91 milliards de dirhams (MMDH) au cours des trois premiers mois de 2022, selon l’Office des Changes."
Marché du travail: ce qu’il faut retenir des chiffres du HCP,2022-05-05,"Chômage, emploi, activité économique… le Haut-Commissariat au Plan (HCP) a tout épluché. Sa dernière note sur la situation du marché du travail au 1er trimestre 2022, publiée ce jeudi 5 mai, confirme la reprise, mais des signes d’essoufflement commencent à se manifester. H24info vous en livre les principaux enseignements."
Le Conseil de la Concurrence inflige à Sika AG une sanction de plus de 11.6 MDH,2022-05-05,"La société Sika AG a accepté le paiement de cette sanction pécuniaire qui sera versée au budget de l’Etat, fait savoir le Conseil de la Concurrence dans un communiqué."
"Les recettes Voyages en hausse de 79,6% à fin mars",2022-05-05,"Les recettes Voyages se sont établies à 9,70 milliards de dirhams (MMDH) à fin mars 2022, soit un accroissement de 79,6% par rapport à la même période en 2021, selon l’Office des changes."
"L’huile de palme toujours bouillante, mais le reste des marchés agricoles se stabilise",2022-05-04,"Les cours de l’huile de palme continuent leur course folle, dopés par la suspension des exportations indonésiennes, mais le reste des marchés agricoles s’est stabilisé, calmé par la perspective d’un rééquilibrage entre offre et demande."
Covid-19: le FMI salue la réactivité du Maroc dans sa gestion de crise,2022-05-04,"Le royaume a mis en place un certain nombre d’instruments de soutien et de protection sociale, visant surtout une population de travailleurs informels assez large, relève Azour dans cet entretien exclusif dans lequel il revient aussi sur les mesures prises par les pays de la région dans le contexte de la crise ukrainienne."
"Le déficit commercial du Maroc augmente de 42,9% à fin mars 2022",2022-05-04,"Le déficit commercial du Maroc a augmenté de 42,9% à fin mars 2022 par rapport à la même période en 2021, pour s’établir à -65,57 milliards de dirhams (MMDH), selon l’Office des changes."
"Banques participatives: les financements en hausse de 37,1% en mars 2022",2022-05-04,"Ces financements se répartissent notamment sur l’immobilier (17,15 MMDH), la consommation (1,17 MMDH), l’équipement (1,91 MMDH) et la trésorerie (85 millions de dirhams), précise BAM dans un document sur les statistiques monétaires du mois de mars 2022."
Le «roi dollar» au plus haut depuis près de 20 ans,2022-05-02,"Le « roi dollar » confortait son règne lundi, approchant son plus haut niveau depuis presque 20 ans face aux principales monnaies, dopé par les attentes d’un relèvement des taux de la Réserve fédérale américaine (Fed) mercredi."
"Au Maroc, la production industrielle a progressé en mars 2022",2022-05-02,"Les résultats de l’enquête de conjoncture dans l’industrie de Bank Al-Maghrib (BAM) indiquent une amélioration, d’un mois à l’autre, de l’activité durant le mois de mars 2022."
"Au Maroc, le crédit bancaire a progressé de 2,9% en mars 2022",2022-05-02,"Le crédit bancaire au secteur non financier a progressé, en glissement annuel, de 2,9% en mars 2022, après 3,3% un mois auparavant, selon Bank Al-Maghrib (BAM)."
Les indicateurs hebdomadaires de BAM en 5 points clés,2022-05-01,Voici cinq points clés des indicateurs hebdomadaires de Bank Al-Maghrib (BAM) au titre de la période allant du 21 au 27 avril 2022 :
Bourse de Casablanca: l’essentiel du résumé hebdomadaire,2022-05-01,Voici l’essentiel du résumé hebdomadaire de la Bourse de Casablanca pour la semaine du 25 au 29 avril 2022 :
Énergie verte: le câble sous marin Maroc/Royaume-Uni pourrait être opérationnel dès 2027,2022-04-30,"Si le projet de câble sous-marin reliant le Maroc au Royaume-Uni est lancé avant la fin de cette année, il pourrait fournir de l’électricité dès 2027, a affirmé vendredi Sir Dave Lewis, président de la société spécialisée en énergie propre Xlinks."
Marchés publics: les délais de paiement frôlent les 38 jours à fin mars 2022,2022-04-29,"La moyenne des délais de paiement déclarés par l’ensemble des Etablissements et entreprises publics (EEP) a atteint 37,9 jours à fin mars 2022, contre 38,4 jours à la même période de 2021, selon la Direction des entreprises publiques et de la privatisation (DEPP) relevant du ministère de l’Economie et des Finances."
Énergie: l’OPEP finance une partie d’études du projet gazoduc Nigeria-Maroc,2022-04-29,"Le Maroc et le Fonds de l’OPEP pour le développement international (OPEC Fund) ont procédé à la signature de la documentation juridique relative au financement d’une partie de la deuxième phase des études d’avant-projet détaillées du projet de gazoduc Nigeria-Maroc, qui vise à devenir un catalyseur du développement économique dans la région de l’Afrique Nord-Ouest."
L’aéroport Marrakech-Menara a accueilli 400.000 passagers en moins d’un mois,2022-04-29,"L’aéroport international Marrakech-Menara a accueilli 421.519 passagers durant la période allant du 7 février (1er jour de la reprise des vols internationaux) au 31 mars 2022, selon l’Office national des aéroports (ONDA)."
Négociations entre Xlinks et Londres pour importer de l’électricité verte du Maroc,2022-04-29,La start-up Xlinks serait en négociations avec la Grande-Bretagne pour importer de l’électricité produite au Maroc grâce au solaire et aux éoliennes. Les détails.
Le pétrole dopé par un éventuel embargo européen sur les hydrocarbures russes,2022-04-29,"Le ministre allemand de l’Economie, Robert Habeck, a assuré mercredi lors d’une conférence de presse que l’Allemagne avait été « plus rapide » que prévu dans son émancipation progressive du charbon et du pétrole russes imposée par le conflit ukrainien."
Al Hoceima: sept nouveaux projets d’un investissement de 65 millions DH,2022-04-29,"La zone d’activité économique (ZAE) d’Aït Kamra sera renforcée avec l’installation de sept nouveaux projets, d’un investissement global d’environ 65 millions de dirhams (MDH)."
Kenzi Sidi Mârouf: une oasis de bien-être pour les Casablancais,2022-06-03,"Un après-midi détente au spa après une journée piscine vue sur notre jolie Casablanca. C’est la promesse du Kenzi Sidi Mârouf hôtel, qui ne cesse d’innover pour le plus grand plaisir de ses clients."
"Crédits, financement, dépôts bancaires…, ce que nous apprend Bank Al-Maghrib",2022-06-03,"Bank Al-Maghrib (BAM) vient de publier le tableau de bord « crédits-dépôts bancaires » du mois d’avril 2022, issu de son enquête de conjoncture. Voici qu’il faut retenir de ce document:"
"Au Maroc, la demande intérieure a augmenté de 9,1% en 2021, selon le HCP",2022-06-02,"La demande intérieure au Maroc a progressé de 9,1% durant l’année écoulée, au lieu d’une baisse de 6,5% en 2020, selon le Haut-Commissariat au Plan (HCP)."
Le gouvernement supprime les droits d’importation de certaines graines et huiles,2022-06-02,"Le Conseil de gouvernement, réuni jeudi sous la présidence du Chef du gouvernement, Aziz Akhannouch, a approuvé le projet de décret n° 2.22.393 relatif à la suspension des droits d’importation applicables à certaines graines oléagineuses et huiles brutes."
"Sheryl Sandberg, la numéro deux de Meta (Facebook), annonce sa démission",2022-06-01,"« Après 14 ans, je vais quitter Meta », a déclaré sur Facebook mercredi Sheryl Sandberg, la directrice des opérations du géant américain des réseaux sociaux, qui va cependant rester au Conseil d’administration."
Voitures électriques: Renault va s’approvisionner en cobalt marocain,2022-06-01,"Le constructeur automobile français Renault a annoncé mercredi avoir signé avec le groupe marocain Managem Group un contrat d’approvisionnement en cobalt, l’un des composants essentiels des batteries électriques pour lesquels tout le secteur bataille."
"MRE: les transferts dépassent 30,5 milliards DH à fin avril 2022",2022-06-01,"Les transferts de fonds effectués par les Marocains Résidents à l’Étranger (MRE) se sont établis à plus de 30,56 milliards de dirhams (MMDH) à fin avril 2022 contre 29,03 MMDH une année auparavant, selon l’Office des changes."
Les exportations de phosphate dépassent les 36 milliards DH à fin avril,2022-06-01,"Les ventes des phosphates et dérivés ont presque doublé pour atteindre plus de 36,14 milliards de dirhams (MMDH) au titre des quatre premiers mois de 2022 contre 18,19 MMDH à fin avril 2021, selon l’Office des changes."
